#{"t_start": 1772701155.793533, "env_id": "None"}
r,l,t
638.0,2000,38.195928
610.0,2000,38.196954
608.0,2000,38.196954
620.0,2000,38.196954
712.0,2000,86.749272
740.0,2000,86.749272
786.0,2000,86.749272
672.0,2000,86.749272
744.0,2000,122.394778
754.0,2000,122.394778
758.0,2000,122.394778
694.0,2000,122.394778
844.0,2000,157.961272
726.0,2000,157.961272
784.0,2000,157.961272
900.0,2000,157.961272
916.0,2000,194.886423
816.0,2000,194.887459
860.0,2000,194.887459
850.0,2000,194.887459
932.0,2000,231.847867
856.0,2000,231.847867
928.0,2000,231.847867
872.0,2000,231.847867
888.0,2000,268.777548
914.0,2000,268.777548
948.0,2000,268.777548
846.0,2000,268.777548
898.0,2000,304.872649
972.0,2000,304.872649
980.0,2000,304.873855
888.0,2000,304.873855
1042.0,2000,340.58752
1054.0,2000,340.58752
988.0,2000,340.58752
910.0,2000,340.58752
1036.0,2000,376.371588
1088.0,2000,376.371588
1012.0,2000,376.371588
972.0,2000,376.371588
1028.0,2000,411.985581
1058.0,2000,411.985581
1076.0,2000,411.985581
1016.0,2000,411.985581
1080.0,2000,447.777419
1032.0,2000,447.777419
1062.0,2000,447.777419
1014.0,2000,447.777419
1180.0,2000,483.66204
1100.0,2000,483.66204
1158.0,2000,483.66204
1024.0,2000,483.66204
1112.0,2000,519.396385
1082.0,2000,519.396385
1136.0,2000,519.396385
1096.0,2000,519.396385
1166.0,2000,556.130311
1164.0,2000,556.130311
1144.0,2000,556.130311
1144.0,2000,556.130311
1034.0,2000,592.450415
1114.0,2000,592.450415
1228.0,2000,592.450415
1162.0,2000,592.450415
1146.0,2000,628.682517
1060.0,2000,628.682517
1184.0,2000,628.682517
1074.0,2000,628.682517
1126.0,2000,665.765086
1168.0,2000,665.765086
1120.0,2000,665.765086
1204.0,2000,665.765086
1148.0,2000,702.092703
1064.0,2000,702.092703
1140.0,2000,702.092703
1228.0,2000,702.092703
1192.0,2000,738.23902
1164.0,2000,738.23902
1192.0,2000,738.23902
1184.0,2000,738.23902
1104.0,2000,774.449229
1164.0,2000,774.449229
1214.0,2000,774.449229
1228.0,2000,774.449229
1214.0,2000,810.784626
1280.0,2000,810.784626
1176.0,2000,810.784626
1136.0,2000,810.784626
1204.0,2000,846.717543
1072.0,2000,846.71854
1168.0,2000,846.71854
1110.0,2000,846.71854
1166.0,2000,883.305458
1116.0,2000,883.305458
1190.0,2000,883.305458
1260.0,2000,883.305458
1166.0,2000,920.73669
1200.0,2000,920.73669
1142.0,2000,920.73669
1324.0,2000,920.73669
1300.0,2000,957.697572
1156.0,2000,957.697572
1194.0,2000,957.697572
1184.0,2000,957.697572
1190.0,2000,993.952442
1166.0,2000,993.952442
1186.0,2000,993.952442
1136.0,2000,993.952442
1220.0,2000,1030.145347
1246.0,2000,1030.145347
1150.0,2000,1030.145347
1194.0,2000,1030.145347
1172.0,2000,1066.023988
1160.0,2000,1066.023988
1198.0,2000,1066.023988
1228.0,2000,1066.023988
1148.0,2000,1101.800869
1200.0,2000,1101.800869
1254.0,2000,1101.800869
1234.0,2000,1101.800869
1218.0,2000,1138.150519
1238.0,2000,1138.150519
1152.0,2000,1138.150519
1224.0,2000,1138.150519
1162.0,2000,1174.524218
1188.0,2000,1174.524218
1234.0,2000,1174.524218
1254.0,2000,1174.524218
1212.0,2000,1210.174968
1134.0,2000,1210.174968
1224.0,2000,1210.174968
1220.0,2000,1210.174968
1194.0,2000,1245.976299
1238.0,2000,1245.976299
1202.0,2000,1245.976299
1172.0,2000,1245.976299
1190.0,2000,1283.09057
1220.0,2000,1283.09057
1202.0,2000,1283.09057
1178.0,2000,1283.09057
1218.0,2000,1319.490259
1294.0,2000,1319.490259
1280.0,2000,1319.490259
1102.0,2000,1319.490259
1182.0,2000,1355.603267
1236.0,2000,1355.603267
1164.0,2000,1355.603267
1182.0,2000,1355.603267
1192.0,2000,1391.670346
1156.0,2000,1391.671341
1278.0,2000,1391.671341
1294.0,2000,1391.671341
1164.0,2000,1427.561631
1340.0,2000,1427.561631
1242.0,2000,1427.561631
1230.0,2000,1427.561631
1222.0,2000,1463.353602
1208.0,2000,1463.353602
1224.0,2000,1463.353602
1230.0,2000,1463.353602
1214.0,2000,1499.630596
1196.0,2000,1499.630596
1204.0,2000,1499.630596
1220.0,2000,1499.630596
1184.0,2000,1535.455946
1260.0,2000,1535.455946
1272.0,2000,1535.455946
1214.0,2000,1535.455946
1276.0,2000,1569.361847
1198.0,2000,1569.361847
1212.0,2000,1569.361847
1254.0,2000,1569.361847
1160.0,2000,1604.839545
1250.0,2000,1604.839545
1222.0,2000,1604.839545
1244.0,2000,1604.839545
1198.0,2000,1641.70919
1180.0,2000,1641.70919
1270.0,2000,1641.70919
1278.0,2000,1641.70919
1198.0,2000,1678.277033
1166.0,2000,1678.277033
1248.0,2000,1678.277033
1238.0,2000,1678.277033
1186.0,2000,1714.53459
1224.0,2000,1714.53459
1246.0,2000,1714.53459
1254.0,2000,1714.53459
1274.0,2000,1750.813542
1266.0,2000,1750.813542
1276.0,2000,1750.813542
1276.0,2000,1750.813542
1234.0,2000,1786.650627
1202.0,2000,1786.650627
1246.0,2000,1786.650627
1290.0,2000,1786.650627
1220.0,2000,1822.000625
1284.0,2000,1822.000625
1252.0,2000,1822.000625
1260.0,2000,1822.000625
1246.0,2000,1857.965337
1210.0,2000,1857.965337
1348.0,2000,1857.965337
1246.0,2000,1857.965337
1242.0,2000,1893.901634
1240.0,2000,1893.901634
1246.0,2000,1893.901634
1304.0,2000,1893.901634
1314.0,2000,1929.381184
1298.0,2000,1929.381184
1156.0,2000,1929.381184
1272.0,2000,1929.381184
1310.0,2000,1965.218425
1262.0,2000,1965.218425
1228.0,2000,1965.218425
1262.0,2000,1965.218425
1168.0,2000,2002.204237
1322.0,2000,2002.204237
1286.0,2000,2002.204237
1232.0,2000,2002.204237
1192.0,2000,2038.86065
1268.0,2000,2038.86065
1284.0,2000,2038.86065
1204.0,2000,2038.86065
1268.0,2000,2075.243564
1244.0,2000,2075.243564
1252.0,2000,2075.243564
1278.0,2000,2075.243564
1196.0,2000,2111.758373
1320.0,2000,2111.758373
1270.0,2000,2111.758373
1220.0,2000,2111.758373
1222.0,2000,2147.864239
1296.0,2000,2147.864239
1234.0,2000,2147.864239
1238.0,2000,2147.864239
1260.0,2000,2183.3426
1256.0,2000,2183.3426
1298.0,2000,2183.3426
1258.0,2000,2183.3426
1252.0,2000,2219.198858
1158.0,2000,2219.198858
1284.0,2000,2219.198858
1336.0,2000,2219.198858
1180.0,2000,2255.252568
1284.0,2000,2255.252568
1218.0,2000,2255.252568
1154.0,2000,2255.252568
1246.0,2000,2291.104928
1238.0,2000,2291.104928
1140.0,2000,2291.104928
1254.0,2000,2291.104928
1250.0,2000,2327.21721
1272.0,2000,2327.21721
1270.0,2000,2327.21721
1290.0,2000,2327.21721
1208.0,2000,2364.443524
1264.0,2000,2364.443524
1186.0,2000,2364.443524
1182.0,2000,2364.443524
1280.0,2000,2401.294362
1330.0,2000,2401.294362
1218.0,2000,2401.294362
1210.0,2000,2401.294362
1120.0,2000,2437.495709
1184.0,2000,2437.495709
1238.0,2000,2437.49672
1254.0,2000,2437.49672
1248.0,2000,2473.985522
1244.0,2000,2473.985522
1240.0,2000,2473.985522
1200.0,2000,2473.985522
1286.0,2000,2509.953702
1258.0,2000,2509.953702
1218.0,2000,2509.953702
1340.0,2000,2509.953702
1358.0,2000,2545.675688
1244.0,2000,2545.676688
1318.0,2000,2545.676688
1328.0,2000,2545.676688
1244.0,2000,2581.520195
1248.0,2000,2581.521206
1288.0,2000,2581.521206
1146.0,2000,2581.521206
1260.0,2000,2617.630179
1228.0,2000,2617.630179
1300.0,2000,2617.630179
1212.0,2000,2617.630179
1308.0,2000,2653.462668
1302.0,2000,2653.462668
1260.0,2000,2653.462668
1342.0,2000,2653.462668
1258.0,2000,2689.269314
1238.0,2000,2689.269314
1228.0,2000,2689.269314
1280.0,2000,2689.269314
1210.0,2000,2725.99952
1260.0,2000,2725.99952
1254.0,2000,2725.99952
1290.0,2000,2725.99952
1212.0,2000,2762.502743
1262.0,2000,2762.502743
1226.0,2000,2762.502743
1284.0,2000,2762.502743
1256.0,2000,2798.603185
1254.0,2000,2798.603185
1172.0,2000,2798.603185
1240.0,2000,2798.603185
1190.0,2000,2835.993764
1214.0,2000,2835.994844
1240.0,2000,2835.994844
1220.0,2000,2835.994844
1176.0,2000,2871.685733
1178.0,2000,2871.685733
1262.0,2000,2871.685733
1178.0,2000,2871.685733
1304.0,2000,2907.324735
1294.0,2000,2907.324735
1326.0,2000,2907.324735
1278.0,2000,2907.324735
1232.0,2000,2943.528174
1242.0,2000,2943.528174
1226.0,2000,2943.528174
1220.0,2000,2943.528174
1262.0,2000,2979.479743
1182.0,2000,2979.479743
1156.0,2000,2979.479743
1240.0,2000,2979.479743
1258.0,2000,3015.082743
1222.0,2000,3015.082743
1256.0,2000,3015.082743
1240.0,2000,3015.082743
1198.0,2000,3051.190615
1280.0,2000,3051.190615
1242.0,2000,3051.190615
1294.0,2000,3051.190615
1218.0,2000,3088.648769
1280.0,2000,3088.648769
1246.0,2000,3088.648769
1204.0,2000,3088.648769
1232.0,2000,3123.921611
1178.0,2000,3123.921611
1306.0,2000,3123.921611
1204.0,2000,3123.921611
1286.0,2000,3160.131835
1230.0,2000,3160.131835
1230.0,2000,3160.131835
1304.0,2000,3160.131835
1214.0,2000,3197.135592
1238.0,2000,3197.135592
1274.0,2000,3197.135592
1264.0,2000,3197.135592
1198.0,2000,3233.010291
1220.0,2000,3233.010291
1220.0,2000,3233.010291
1252.0,2000,3233.010291
1342.0,2000,3268.654019
1218.0,2000,3268.654019
1258.0,2000,3268.654019
1290.0,2000,3268.654019
1232.0,2000,3305.01176
1234.0,2000,3305.013022
1250.0,2000,3305.013022
1294.0,2000,3305.013022
1238.0,2000,3340.897457
1292.0,2000,3340.897457
1274.0,2000,3340.897457
1298.0,2000,3340.897457
1264.0,2000,3376.385028
1312.0,2000,3376.385028
1260.0,2000,3376.385028
1228.0,2000,3376.385028
1312.0,2000,3412.320277
1232.0,2000,3412.320277
1310.0,2000,3412.320277
1192.0,2000,3412.320277
1226.0,2000,3449.205936
1226.0,2000,3449.205936
1168.0,2000,3449.205936
1226.0,2000,3449.205936
1272.0,2000,3485.662396
1258.0,2000,3485.662396
1270.0,2000,3485.662396
1310.0,2000,3485.662396
1262.0,2000,3521.953341
